gene	process	chr	function	ENSG
SDHA	Tricarboxylic acid cycle	NA	Sdha: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	NA
SDHB	Tricarboxylic acid cycle	NA	Sdhb: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	NA
SDHC	Tricarboxylic acid cycle	NA	Sdhc: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	NA
SDHD	Tricarboxylic acid cycle	NA	Sdhd: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	NA
FH1	Tricarboxylic acid cycle	NA	Fh1: Catalyzes the formation of L-malate from fumarate	NA
MDH2	Tricarboxylic acid cycle	NA	Mdh2: Catalyzes the reversible oxidation of malate to oxaloacetate	NA
OTC	Urea Cycle	NA	Otc: Ornithine transcarbamoylase catalyzes the step in which carbamoyl phosphate combines with ornithine to form citruline	NA
ASS1	Urea Cycle	NA	Ass1: Argininosuccinate synthetase catalyzes the step where Citruline combines with Aspartate to form Argininosuccinate	NA
ASL	Urea Cycle	NA	Asl: Argininosuccinate lyase catalyzes the reaction where Argininosuccinate is cleaved of its nitrogen and carbon skeleton forming arginine and fumarate respectively	NA
ARG1	Urea Cycle	NA	Arg1: Arginase catalyzes the step where Arginine is hydrolyzed to form urea and ornithine	NA
ARG2	Urea Cycle	NA	Arg2: Arginase catalyzes the step where Arginine is hydrolyzed to form urea and ornithine	NA
CPS1	Urea Cycle	NA	Cps1: Carbamoyl phosphate synthetase catalyzes the step where free NH4+ with HCO3- form carbamoyl phosphate	NA
ALAS2	Heme Biosynthesis	NA	Alas2: Catalyzes the reaction in which amino acid glycine and succinyl CoA condenses to form 5-aminolevulinate (ALA) and CO2	NA
ALAS1	Heme Biosynthesis	NA	Alas1: Catalyzes the reaction in which amino acid glycine and succinyl CoA condenses to form 5-aminolevulinate (ALA) and CO2	NA
FECH	Heme Biosynthesis	NA	Fech: Ferrochelatase catalyzes the step involving the addition of Ferrous iron into the protoprphyrin IX to form the protoheme IX	NA
PPOX	Heme Biosynthesis	NA	Ppox: Enzyme protoporphyrinogen oxidase converts Protoporphyrinogen IX to Protoporphyrin IX	NA
CPOX	Heme Biosynthesis	NA	Cpox: Coproporphyrinogen III is transported to mitochondria and in the presence of coproporphyrinogen III oxidase it is oxidatively decarboxylated	NA
UROD	Heme Biosynthesis	NA	Urod: Uroporphyrinogen III decarboxylase catalyzes stepwise decarboxylation of the Uroporphyrinogen III	NA
UROS	Heme Biosynthesis	NA	Uros: Enzyme uroporphyrinogen III syntase catalyzes the reaction, in which hydroxymethylbilane is rearranged to form uroporphyrinogen III	NA
HMBS	Heme Biosynthesis	NA	Hmbs: Hydroxymethylbilane synthase catalyzes head to tail condensation of four porphobilinogen and subsequent deamination to form a linear tetrapyrrole, Hydroxymethylbilane	NA
ALAD	Heme Biosynthesis	NA	Alad: ALA dehydratase catalyzes the reaction, where two molecules of ALA condenses to form monopyrrole porphobilinogen 	NA
SLC2A1	Glycolysis	NA	Slc2a1: A major glucose transporter in the mammalian blood-brain barrier	NA
SLC2A2	Glycolysis	NA	Slc2a2: Facilitated glucose transporter	NA
SLC2A3	Glycolysis	NA	Slc2a3: Solute carrier family 2 (facilitated glucose transporter), member 3	NA
SLC2A4	Glycolysis	NA	Slc2a4: Insulin-regulated facilitated glucose transporter	NA
SLC2A5	Glycolysis	NA	Slc2a5: Solute carrier family 2 (facilitated glucose/fructose transporter), member 5	NA
HK1	Glycolysis	NA	Hk1: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	NA
HK2	Glycolysis	NA	Hk2: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	NA
HK3	Glycolysis	NA	Hk3: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	NA
GCK	Glycolysis	NA	Gck: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	NA
GPI1	Glycolysis	NA	Gpi1: Glycolytic enzyme that interconverts glucose-6-phophsate and fructose-6-phosphate	NA
PFKL	Glycolysis	NA	Pfkl: Catalyzes the conversion of fructose 6-phosphate to fructose 1,6-bisphosphate	NA
PFKM	Glycolysis	NA	Pfkm: Catalyzes the phosphorylation of fructose-6-phosphate to fructose-1,6-bisphosphate	NA
PFKP	Glycolysis	NA	Pfkp: Catalyzes the irreversible conversion of fructose-6-phosphate to fructose-1,6-bisphosphate	NA
ALDOA	Glycolysis	NA	Aldoa: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	NA
ALDOB	Glycolysis	NA	Aldob: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	NA
ALDOC	Glycolysis	NA	Aldoc: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	NA
TPI1	Glycolysis	NA	Tpi1: Catalyzes the isomerization of glyceraldehydes 3-phosphate and dihydroxy-acetone phosphate	NA
GAPDH	Glycolysis	NA	Gapdh: Catalyzes the reversible oxidative phosphorylation of glyceraldehyde-3-phosphate and may also inhibit Caspase independent cell death in apoptosis	NA
GAPDHS	Glycolysis	NA	Gapdhs: Catalyzes the reversible oxidative phosphorylation of glyceraldehyde-3-phosphate	NA
PGK1	Glycolysis	NA	Pgk1: Catalyzes the conversion of 1,3-diphosphoglycerate to 3-phosphoglycerate	NA
PGK2	Glycolysis	NA	Pgk2: Catalyzes the reversible conversion of 1,3-bisphosphoglycerate to 3-phosphoglycerate	NA
PGAM1	Glycolysis	NA	Pgam1: Catalyzes the reversible reaction of 3-phosphoglycerate to 2-phosphoglycerate	NA
PGAM2	Glycolysis	NA	Pgam2: Catalyzes the reversible reaction of 3-phosphoglycerate to 2-phosphoglycerate	NA
ENO1	Glycolysis	NA	Eno1: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	NA
ENO2	Glycolysis	NA	Eno2: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	NA
ENO3	Glycolysis	NA	Eno3: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	NA
PKLR	Glycolysis	NA	Pklr: Catalyzes the transphosphorylation of phohsphoenolpyruvate into pyruvate and ATP	NA
PKM2	Glycolysis	NA	Pkm2: Catalyzes the transphosphorylation of phohsphoenolpyruvate into pyruvate and ATP	NA
LDHAL6B	Glycolysis	NA	Ldhal6b: Catalyzes the interconversion of pyruvate to lactate and back	NA
LDHC	Glycolysis	NA	Ldhc: Catalyzes the interconversion of pyruvate to lactate and back	NA
LDHB	Glycolysis	NA	Ldhb: Catalyzes the interconversion of pyruvate to lactate and back	NA
LDHA	Glycolysis	NA	Ldha: Catalyzes the interconversion of pyruvate to lactate and back	NA
BRP44	Pyruvate transfer	NA	Brp44: Mitochondrial pyruvate carrier 2	NA
BRP44L	Pyruvate transfer	NA	Brp44l: Mitochondrial pyruvate carrier 1	NA
PDHA1	Formation of Acetyl CoA	NA	Pdha1: Catalyzes the overall conversion of pyruvate to acetyl-CoA	NA
PDHA2	Formation of Acetyl CoA	NA	Pdha2: Catalyzes the overall conversion of pyruvate to acetyl-CoA	NA
PDHB	Formation of Acetyl CoA	NA	Pdhb: Catalyzes the overall conversion of pyruvate to acetyl-CoA	NA
PDHX	Formation of Acetyl CoA	NA	Pdhx: Catalyzes the conversion of pyruvate to acetyl coenzyme A	NA
DLAT	Formation of Acetyl CoA	NA	Dlat: Catalyzes the conversion of pyruvate to acetyl coenzyme A	NA
CCDC109A	Calcium trafficking	NA	Ccdc109a: Calcium uniporter, involved in the accumulation of calcium ions in the matrix through ion impermeable inner mitochondrial membrane	NA
SLC24A6	Calcium trafficking	NA	Slc24a6: Involved in the calcium homeostasis by counteracting the calcium accumaltion in the mitochondria	NA
LETM1	Calcium trafficking	NA	Letm1: Might act as calcium and hydrogen ion antiporter exchanging hydrogen for calcium	NA
CBARA1	Calcium trafficking	NA	Cbara1: Regulates the mitochodrial calcium uniporter by inhibiting and permitting the calcium, depending upon the cytosolic calcium concentrations	NA
EFHA1	Calcium trafficking	NA	Efha1: Regulates the mitochodrial calcium uniporter by inhibiting and permitting the calcium, depending upon the cytosolic calcium concentrations	NA
CCDC90A	Calcium trafficking	NA	Ccdc90a: Regulates MCU dependent calcium uptake by the mitochondria 	NA
EFHA2	Calcium trafficking	NA	Efha2: Regulates the mitochodrial calcium uniporter by inhibiting and permitting the calcium depending upon the cytosolic calcium concentrations	NA
CCDC109B	Calcium trafficking	NA	Ccdc109b: Forms a important component of mitochondrial calcium uniporter	NA
1500032L24RIK	Calcium trafficking	NA	1500032L24Rik: Forms a important component of mitochondrial calcium uniporter 	NA
ITPR3	Calcium trafficking	NA	Itpr3: Component of the Inositol-1,4,5-triphosphate receptors channels used for the flux of Ca2+ from ER to mitochondria	NA
ITPR2	Calcium trafficking	NA	Itpr2: Component of the Inositol-1,4,5-triphosphate receptors channels used for the flux of Ca2+ from ER to mitochondria	NA
ITPR1	Calcium trafficking	NA	Itpr1: Component of the Inositol-1,4,5-triphosphate receptors channels used for the flux of Ca2+ from ER to mitochondria	NA
TCHP	Calcium trafficking	NA	Tchp: Involved in the regulation of ER mitochondria juxtaposition 	NA
SIGMAR1	Calcium trafficking	NA	Sigmar1: Stabilises the Inositol-1,4,5-triphosphate receptors and ensures proper Ca2+ flux	NA
PACS2	Calcium trafficking	NA	Pacs2: Involved in the control of ER mitochondria apposition 	NA
PML	Calcium trafficking	NA	Pml: Regulates Inositol-1,4,5-triphosphate receptor mediated Ca2+ release from the ER	NA
RARS2	Translation	NA	Rars2: Involved in the specific attachment of arginine aminoacid to its cognate tRNA	NA
CARS2	Translation	NA	Cars2: Involved in the specific attachment of cysteine aminoacid to its cognate tRNA	NA
EARS2	Translation	NA	Ears2: Involved in the specific attachment of glutamic acid aminoacid to its cognate tRNA	NA
IARS2	Translation	NA	Iars2: Involved in the specific attachment of isoleucine aminoacid to its cognate tRNA	NA
LARS2	Translation	NA	Lars2: Involved in the specific attachment of leucine aminoacid to its cognate tRNA	NA
MARS2	Translation	NA	Mars2: Involved in the specific attachment of methionine aminoacid to its cognate tRNA	NA
WARS2	Translation	NA	Wars2: Involved in the specific attachment of tryptophan aminoacid to its cognate tRNA	NA
YARS2	Translation	NA	Yars2: Involved in the specific attachment of tyrosine aminoacid to its cognate tRNA	NA
VARS2	Translation	NA	Vars2: Involved in the specific attachment of valine aminoacid to its cognate tRNA	NA
AARS2	Translation	NA	Aars2: Involved in the specific attachment of alanine aminoacid to its cognate tRNA	NA
NARS2	Translation	NA	Nars2: Involved in the specific attachment of asparagine aminoacid to its cognate tRNA	NA
DARS2	Translation	NA	Dars2: Involved in the specific attachment of aspartic acid aminoacid to its cognate tRNA	NA
GARS	Translation	NA	Gars: Involved in the specific attachment of glycine aminoacid to its cognate tRNA	NA
HARS2	Translation	NA	Hars2: Involved in the specific attachment of histidine aminoacid to its cognate tRNA	NA
KARS	Translation	NA	Kars: Involved in the specific attachment of lysine aminoacid to its cognate tRNA	NA
FARS2	Translation	NA	Fars2: Involved in the specific attachment of phenylalanine aminoacid to its cognate tRNA	NA
PARS2	Translation	NA	Pars2: Involved in the specific attachment of proline aminoacid to its cognate tRNA	NA
SARS2	Translation	NA	Sars2: Involved in the specific attachment of serine aminoacid to its cognate tRNA	NA
TARS2	Translation	NA	Tars2: Involved in the specific attachment of threonine aminoacid to its cognate tRNA	NA
QRSL1	Translation	NA	Qrsl1: Involved in the biosynthesis of glutamyl-tRNA	NA
PET112L	Translation	NA	Pet112l: Involved in the biosynthesis of glutamyl-tRNA	NA
GATC	Translation	NA	Gatc: Involved in the biosynthesis of glutamyl-tRNA	NA
MTFMT	Translation	NA	Mtfmt: Involved in the specific attachment of methionine aminoacid to its cognate tRNA	NA
TUFM	Translation	NA	Tufm: Involved in the elongation and termination phases of the translation process	NA
GFM2	Translation	NA	Gfm2: Involved in the elongation and termination phases of the translation process may also be involved in the ribosome recycling	NA
GFM1	Translation	NA	Gfm1: Involved in the elongation and termination phases of the translation process	NA
TSFM	Translation	NA	Tsfm: Involved in the elongation and termination phases of the translation process	NA
MTRF1	Translation	NA	Mtrf1: Involved in the mitochondrial translation termination, may act as a release factor	NA
MTRF1L	Translation	NA	Mtrf1l: Involved in the mitochondrial translation termination, act as a release factor	NA
MRRF	Translation	NA	Mrrf: Acts as a mitochondrial ribosome recycling factor during translation process	NA
PTCD3	Translation	NA	Ptcd3: Associates with mitochondrial small ribosomal subunit and regulates translation	NA
MT-TA	Translation	NA	mt-Ta: mitochondrially encoded tRNA alanine	NA
MT-TC	Translation	NA	mt-Tc: mitochondrially encoded tRNA cysteine	NA
MT-TD	Translation	NA	mt-Td: mitochondrially encoded tRNA aspartic acid	NA
MT-TE	Translation	NA	mt-Te: mitochondrially encoded tRNA glutamic acid	NA
MT-TF	Translation	NA	mt-Tf: mitochondrially encoded tRNA phenylalanine	NA
MT-TG	Translation	NA	mt-Tg: mitochondrially encoded tRNA glycine	NA
MT-TH	Translation	NA	mt-Th: mitochondrially encoded tRNA histidine	NA
MT-TI	Translation	NA	mt-Ti: mitochondrially encoded tRNA isoleucine	NA
MT-TK	Translation	NA	mt-Tk: mitochondrially encoded tRNA lysine	NA
MT-TL1	Translation	NA	mt-Tl1: mitochondrially encoded tRNA leucine 1 (UUA/G)	NA
MT-TL2	Translation	NA	mt-Tl2: mitochondrially encoded tRNA leucine 2 (CUN)	NA
MT-TM	Translation	NA	mt-Tm: mitochondrially encoded tRNA methionine	NA
MT-TN	Translation	NA	mt-Tn: mitochondrially encoded tRNA asparagine	NA
MT-TP	Translation	NA	mt-Tp: mitochondrially encoded tRNA proline	NA
MT-TQ	Translation	NA	mt-Tq: mitochondrially encoded tRNA glutamine	NA
MT-TR	Translation	NA	mt-Tr: mitochondrially encoded tRNA arginine	NA
MT-TS1	Translation	NA	mt-Ts1: mitochondrially encoded tRNA serine 1 (UCN)	NA
MT-TS2	Translation	NA	mt-Ts2: mitochondrially encoded tRNA serine 2 (AGU/C)	NA
MT-TT	Translation	NA	mt-Tt: mitochondrially encoded tRNA threonine	NA
MT-TV	Translation	NA	mt-Tv: mitochondrially encoded tRNA valine	NA
MT-TW	Translation	NA	mt-Tw: mitochondrially encoded tRNA tryptophan	NA
MT-TY	Translation	NA	mt-Ty: mitochondrially encoded tRNA tyrosine	NA
MRPL1	Translation	NA	Mrpl1: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL2	Translation	NA	Mrpl2: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL3	Translation	NA	Mrpl3: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL4	Translation	NA	Mrpl4: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL9	Translation	NA	Mrpl9: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL10	Translation	NA	Mrpl10: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL11	Translation	NA	Mrpl11: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL12	Translation	NA	Mrpl12: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL13	Translation	NA	Mrpl13: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL14	Translation	NA	Mrpl14: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL15	Translation	NA	Mrpl15: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL16	Translation	NA	Mrpl16: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL17	Translation	NA	Mrpl17: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL18	Translation	NA	Mrpl18: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL19	Translation	NA	Mrpl19: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL20	Translation	NA	Mrpl20: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL21	Translation	NA	Mrpl21: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL22	Translation	NA	Mrpl22: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL23	Translation	NA	Mrpl23: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL24	Translation	NA	Mrpl24: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL27	Translation	NA	Mrpl27: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL28	Translation	NA	Mrpl28: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL30	Translation	NA	Mrpl30: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL32	Translation	NA	Mrpl32: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL33	Translation	NA	Mrpl33: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL34	Translation	NA	Mrpl34: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL35	Translation	NA	Mrpl35: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL36	Translation	NA	Mrpl36: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL37	Translation	NA	Mrpl37: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL38	Translation	NA	Mrpl38: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL39	Translation	NA	Mrpl39: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL40	Translation	NA	Mrpl40: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL41	Translation	NA	Mrpl41: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL42	Translation	NA	Mrpl42: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL43	Translation	NA	Mrpl43: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL44	Translation	NA	Mrpl44: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL45	Translation	NA	Mrpl45: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL46	Translation	NA	Mrpl46: Mitoribosome which forms a part of mitochondrial translation machinary	NA
MRPL47	Translation	NA	Mrpl47: Mitoribosome which forms a part of mitochondrial translation machinary	NA
