sampleID	sex	flyKind	lines
line_850_2_female	female	dgrp	line_850
line_852_1_female	female	dgrp	line_852
line_852_2_female	female	dgrp	line_852
line_853_1_female	female	dgrp	line_853
line_853_2_female	female	dgrp	line_853
line_855_1_female	female	dgrp	line_855
line_855_2_female	female	dgrp	line_855
line_857_1_female	female	dgrp	line_857
line_857_2_female	female	dgrp	line_857
line_859_1_female	female	dgrp	line_859
line_859_2_female	female	dgrp	line_859
line_861_1_female	female	dgrp	line_861
line_861_2_female	female	dgrp	line_861
line_879_1_female	female	dgrp	line_879
line_879_2_female	female	dgrp	line_879
line_882_1_female	female	dgrp	line_882
line_882_2_female	female	dgrp	line_882
line_884_1_female	female	dgrp	line_884
line_884_2_female	female	dgrp	line_884
line_887_1_female	female	dgrp	line_887
line_887_2_female	female	dgrp	line_887
line_890_1_female	female	dgrp	line_890
line_892_1_female	female	dgrp	line_892
line_892_2_female	female	dgrp	line_892
line_894_1_female	female	dgrp	line_894
line_894_2_female	female	dgrp	line_894
line_897_1_female	female	dgrp	line_897
line_897_2_female	female	dgrp	line_897
line_900_1_female	female	dgrp	line_900
line_900_2_female	female	dgrp	line_900
line_907_1_female	female	dgrp	line_907
line_907_2_female	female	dgrp	line_907
line_908_1_female	female	dgrp	line_908
line_908_2_female	female	dgrp	line_908
line_911_1_female	female	dgrp	line_911
line_911_2_female	female	dgrp	line_911
line_913_1_female	female	dgrp	line_913
line_913_2_female	female	dgrp	line_913
line_21_1_male	male	dgrp	line_21
line_21_2_male	male	dgrp	line_21
line_26_1_male	male	dgrp	line_26
line_26_2_male	male	dgrp	line_26
line_28_1_male	male	dgrp	line_28
line_28_2_male	male	dgrp	line_28
line_38_1_male	male	dgrp	line_38
line_38_2_male	male	dgrp	line_38
line_40_1_male	male	dgrp	line_40
line_40_2_male	male	dgrp	line_40
line_41_1_male	male	dgrp	line_41
line_41_2_male	male	dgrp	line_41
line_42_1_male	male	dgrp	line_42
line_42_2_male	male	dgrp	line_42
line_45_1_male	male	dgrp	line_45
line_45_2_male	male	dgrp	line_45
line_49_1_male	male	dgrp	line_49
line_49_2_male	male	dgrp	line_49
line_57_1_male	male	dgrp	line_57
line_57_2_male	male	dgrp	line_57
line_59_1_male	male	dgrp	line_59
line_59_2_male	male	dgrp	line_59
line_69_1_male	male	dgrp	line_69
line_69_2_male	male	dgrp	line_69
line_101_1_male	male	dgrp	line_101
line_101_2_male	male	dgrp	line_101
line_105_1_male	male	dgrp	line_105
line_105_2_male	male	dgrp	line_105
line_109_1_male	male	dgrp	line_109
line_109_2_male	male	dgrp	line_109
line_129_1_male	male	dgrp	line_129
line_129_2_male	male	dgrp	line_129
line_136_1_male	male	dgrp	line_136
line_136_2_male	male	dgrp	line_136
line_138_1_male	male	dgrp	line_138
line_138_2_male	male	dgrp	line_138
line_73_1_male	male	dgrp	line_73
line_73_2_male	male	dgrp	line_73
line_75_1_male	male	dgrp	line_75
line_75_2_male	male	dgrp	line_75
line_83_1_male	male	dgrp	line_83
line_83_2_male	male	dgrp	line_83
line_85_1_male	male	dgrp	line_85
line_85_2_male	male	dgrp	line_85
line_88_1_male	male	dgrp	line_88
line_88_2_male	male	dgrp	line_88
line_91_1_male	male	dgrp	line_91
line_91_2_male	male	dgrp	line_91
line_93_1_male	male	dgrp	line_93
line_93_2_male	male	dgrp	line_93
line_142_1_male	male	dgrp	line_142
line_142_2_male	male	dgrp	line_142
line_149_1_male	male	dgrp	line_149
line_149_2_male	male	dgrp	line_149
line_153_1_male	male	dgrp	line_153
line_153_2_male	male	dgrp	line_153
line_158_1_male	male	dgrp	line_158
line_158_2_male	male	dgrp	line_158
line_161_1_male	male	dgrp	line_161
line_161_2_male	male	dgrp	line_161
line_176_1_male	male	dgrp	line_176
line_176_2_male	male	dgrp	line_176
line_177_1_male	male	dgrp	line_177
line_177_2_male	male	dgrp	line_177
line_181_1_male	male	dgrp	line_181
line_181_2_male	male	dgrp	line_181
line_189_1_male	male	dgrp	line_189
line_189_2_male	male	dgrp	line_189
line_195_1_male	male	dgrp	line_195
line_195_2_male	male	dgrp	line_195
line_208_1_male	male	dgrp	line_208
line_208_2_male	male	dgrp	line_208
line_217_1_male	male	dgrp	line_217
line_217_2_male	male	dgrp	line_217
line_223_1_male	male	dgrp	line_223
line_223_2_male	male	dgrp	line_223
line_227_1_male	male	dgrp	line_227
line_227_2_male	male	dgrp	line_227
line_228_1_male	male	dgrp	line_228
line_228_2_male	male	dgrp	line_228
line_229_1_male	male	dgrp	line_229
line_229_2_male	male	dgrp	line_229
line_233_1_male	male	dgrp	line_233
line_233_2_male	male	dgrp	line_233
line_235_1_male	male	dgrp	line_235
line_235_2_male	male	dgrp	line_235
line_237_1_male	male	dgrp	line_237
line_237_2_male	male	dgrp	line_237
line_239_1_male	male	dgrp	line_239
line_239_2_male	male	dgrp	line_239
line_256_1_male	male	dgrp	line_256
line_256_2_male	male	dgrp	line_256
line_280_1_male	male	dgrp	line_280
line_280_2_male	male	dgrp	line_280
line_287_1_male	male	dgrp	line_287
line_287_2_male	male	dgrp	line_287
line_301_1_male	male	dgrp	line_301
line_301_2_male	male	dgrp	line_301
line_303_1_male	male	dgrp	line_303
line_303_2_male	male	dgrp	line_303
line_304_1_male	male	dgrp	line_304
line_304_2_male	male	dgrp	line_304
line_306_1_male	male	dgrp	line_306
line_306_2_male	male	dgrp	line_306
line_307_1_male	male	dgrp	line_307
line_307_2_male	male	dgrp	line_307
line_309_1_male	male	dgrp	line_309
line_309_2_male	male	dgrp	line_309
line_310_1_male	male	dgrp	line_310
line_310_2_male	male	dgrp	line_310
line_313_1_male	male	dgrp	line_313
line_313_2_male	male	dgrp	line_313
line_315_1_male	male	dgrp	line_315
line_315_2_male	male	dgrp	line_315
line_317_1_male	male	dgrp	line_317
line_317_2_male	male	dgrp	line_317
line_318_1_male	male	dgrp	line_318
line_318_2_male	male	dgrp	line_318
line_320_1_male	male	dgrp	line_320
line_320_2_male	male	dgrp	line_320
line_321_1_male	male	dgrp	line_321
line_321_2_male	male	dgrp	line_321
line_324_1_male	male	dgrp	line_324
line_324_2_male	male	dgrp	line_324
line_325_1_male	male	dgrp	line_325
line_325_2_male	male	dgrp	line_325
line_332_1_male	male	dgrp	line_332
line_332_2_male	male	dgrp	line_332
line_335_1_male	male	dgrp	line_335
line_335_2_male	male	dgrp	line_335
line_336_1_male	male	dgrp	line_336
line_336_2_male	male	dgrp	line_336
line_338_1_male	male	dgrp	line_338
line_338_2_male	male	dgrp	line_338
line_340_1_male	male	dgrp	line_340
line_340_2_male	male	dgrp	line_340
line_350_1_male	male	dgrp	line_350
line_350_2_male	male	dgrp	line_350
line_352_1_male	male	dgrp	line_352
line_352_2_male	male	dgrp	line_352
line_356_1_male	male	dgrp	line_356
line_356_2_male	male	dgrp	line_356
line_357_1_male	male	dgrp	line_357
line_357_2_male	male	dgrp	line_357
line_358_1_male	male	dgrp	line_358
line_358_2_male	male	dgrp	line_358
line_359_1_male	male	dgrp	line_359
line_359_2_male	male	dgrp	line_359
line_360_1_male	male	dgrp	line_360
line_360_2_male	male	dgrp	line_360
line_361_1_male	male	dgrp	line_361
line_361_2_male	male	dgrp	line_361
line_362_1_male	male	dgrp	line_362
line_362_2_male	male	dgrp	line_362
line_365_1_male	male	dgrp	line_365
line_365_2_male	male	dgrp	line_365
line_367_1_male	male	dgrp	line_367
line_367_2_male	male	dgrp	line_367
line_370_1_male	male	dgrp	line_370
line_370_2_male	male	dgrp	line_370
line_371_1_male	male	dgrp	line_371
line_371_2_male	male	dgrp	line_371
line_373_1_male	male	dgrp	line_373
line_373_2_male	male	dgrp	line_373
line_374_1_male	male	dgrp	line_374
line_374_2_male	male	dgrp	line_374
line_375_1_male	male	dgrp	line_375
line_375_2_male	male	dgrp	line_375
line_377_1_male	male	dgrp	line_377
line_377_2_male	male	dgrp	line_377
line_379_1_male	male	dgrp	line_379
line_379_2_male	male	dgrp	line_379
line_380_1_male	male	dgrp	line_380
line_380_2_male	male	dgrp	line_380
line_381_1_male	male	dgrp	line_381
line_381_2_male	male	dgrp	line_381
line_382_1_male	male	dgrp	line_382
line_382_2_male	male	dgrp	line_382
line_383_1_male	male	dgrp	line_383
line_383_2_male	male	dgrp	line_383
line_385_1_male	male	dgrp	line_385
line_385_2_male	male	dgrp	line_385
line_386_1_male	male	dgrp	line_386
line_386_2_male	male	dgrp	line_386
line_391_1_male	male	dgrp	line_391
line_391_2_male	male	dgrp	line_391
line_392_1_male	male	dgrp	line_392
line_392_2_male	male	dgrp	line_392
line_399_1_male	male	dgrp	line_399
line_399_2_male	male	dgrp	line_399
line_405_1_male	male	dgrp	line_405
line_405_2_male	male	dgrp	line_405
line_406_1_male	male	dgrp	line_406
line_406_2_male	male	dgrp	line_406
line_409_1_male	male	dgrp	line_409
line_409_2_male	male	dgrp	line_409
line_426_1_male	male	dgrp	line_426
line_426_2_male	male	dgrp	line_426
line_427_1_male	male	dgrp	line_427
line_427_2_male	male	dgrp	line_427
line_437_1_male	male	dgrp	line_437
line_437_2_male	male	dgrp	line_437
line_439_1_male	male	dgrp	line_439
line_439_2_male	male	dgrp	line_439
line_440_1_male	male	dgrp	line_440
line_440_2_male	male	dgrp	line_440
line_441_1_male	male	dgrp	line_441
line_441_2_male	male	dgrp	line_441
line_443_1_male	male	dgrp	line_443
line_443_2_male	male	dgrp	line_443
line_461_1_male	male	dgrp	line_461
line_461_2_male	male	dgrp	line_461
line_486_1_male	male	dgrp	line_486
line_486_2_male	male	dgrp	line_486
line_491_1_male	male	dgrp	line_491
line_491_2_male	male	dgrp	line_491
line_492_1_male	male	dgrp	line_492
line_492_2_male	male	dgrp	line_492
line_502_1_male	male	dgrp	line_502
line_502_2_male	male	dgrp	line_502
line_508_1_male	male	dgrp	line_508
line_508_2_male	male	dgrp	line_508
line_509_1_male	male	dgrp	line_509
line_509_2_male	male	dgrp	line_509
line_513_1_male	male	dgrp	line_513
line_513_2_male	male	dgrp	line_513
line_517_1_male	male	dgrp	line_517
line_517_2_male	male	dgrp	line_517
line_530_1_male	male	dgrp	line_530
line_530_2_male	male	dgrp	line_530
line_531_1_male	male	dgrp	line_531
line_531_2_male	male	dgrp	line_531
line_535_1_male	male	dgrp	line_535
line_535_2_male	male	dgrp	line_535
line_555_1_male	male	dgrp	line_555
line_555_2_male	male	dgrp	line_555
line_563_1_male	male	dgrp	line_563
line_563_2_male	male	dgrp	line_563
line_584_1_male	male	dgrp	line_584
line_584_2_male	male	dgrp	line_584
line_589_1_male	male	dgrp	line_589
line_589_2_male	male	dgrp	line_589
line_595_1_male	male	dgrp	line_595
line_595_2_male	male	dgrp	line_595
line_639_1_male	male	dgrp	line_639
line_639_2_male	male	dgrp	line_639
line_642_1_male	male	dgrp	line_642
line_642_2_male	male	dgrp	line_642
line_646_1_male	male	dgrp	line_646
line_646_2_male	male	dgrp	line_646
line_703_1_male	male	dgrp	line_703
line_703_2_male	male	dgrp	line_703
line_705_1_male	male	dgrp	line_705
line_705_2_male	male	dgrp	line_705
line_707_1_male	male	dgrp	line_707
line_707_2_male	male	dgrp	line_707
line_712_1_male	male	dgrp	line_712
line_712_2_male	male	dgrp	line_712
line_714_1_male	male	dgrp	line_714
line_714_2_male	male	dgrp	line_714
line_716_1_male	male	dgrp	line_716
line_716_2_male	male	dgrp	line_716
line_721_1_male	male	dgrp	line_721
line_721_2_male	male	dgrp	line_721
line_727_1_male	male	dgrp	line_727
line_727_2_male	male	dgrp	line_727
line_730_1_male	male	dgrp	line_730
line_730_2_male	male	dgrp	line_730
line_732_1_male	male	dgrp	line_732
line_732_2_male	male	dgrp	line_732
line_737_1_male	male	dgrp	line_737
line_737_2_male	male	dgrp	line_737
line_738_1_male	male	dgrp	line_738
line_738_2_male	male	dgrp	line_738
line_748_1_male	male	dgrp	line_748
line_748_2_male	male	dgrp	line_748
line_757_1_male	male	dgrp	line_757
line_757_2_male	male	dgrp	line_757
line_761_1_male	male	dgrp	line_761
line_761_2_male	male	dgrp	line_761
line_765_1_male	male	dgrp	line_765
line_765_2_male	male	dgrp	line_765
line_774_1_male	male	dgrp	line_774
line_774_2_male	male	dgrp	line_774
line_776_1_male	male	dgrp	line_776
line_776_2_male	male	dgrp	line_776
line_783_1_male	male	dgrp	line_783
line_783_2_male	male	dgrp	line_783
line_786_1_male	male	dgrp	line_786
line_786_2_male	male	dgrp	line_786
line_787_1_male	male	dgrp	line_787
line_787_2_male	male	dgrp	line_787
line_790_1_male	male	dgrp	line_790
line_790_2_male	male	dgrp	line_790
line_796_1_male	male	dgrp	line_796
line_796_2_male	male	dgrp	line_796
line_799_1_male	male	dgrp	line_799
line_799_2_male	male	dgrp	line_799
line_801_1_male	male	dgrp	line_801
line_801_2_male	male	dgrp	line_801
line_802_1_male	male	dgrp	line_802
line_802_2_male	male	dgrp	line_802
line_804_1_male	male	dgrp	line_804
line_804_2_male	male	dgrp	line_804
line_805_1_male	male	dgrp	line_805
line_805_2_male	male	dgrp	line_805
line_808_1_male	male	dgrp	line_808
line_808_2_male	male	dgrp	line_808
line_810_1_male	male	dgrp	line_810
line_810_2_male	male	dgrp	line_810
line_812_1_male	male	dgrp	line_812
line_812_2_male	male	dgrp	line_812
line_818_1_male	male	dgrp	line_818
line_818_2_male	male	dgrp	line_818
line_819_1_male	male	dgrp	line_819
line_819_2_male	male	dgrp	line_819
line_820_1_male	male	dgrp	line_820
line_820_2_male	male	dgrp	line_820
line_821_1_male	male	dgrp	line_821
line_821_2_male	male	dgrp	line_821
line_822_1_male	male	dgrp	line_822
line_822_2_male	male	dgrp	line_822
line_832_1_male	male	dgrp	line_832
line_832_2_male	male	dgrp	line_832
line_837_1_male	male	dgrp	line_837
line_837_2_male	male	dgrp	line_837
line_843_1_male	male	dgrp	line_843
line_843_2_male	male	dgrp	line_843
line_849_1_male	male	dgrp	line_849
line_849_2_male	male	dgrp	line_849
line_850_1_male	male	dgrp	line_850
line_850_2_male	male	dgrp	line_850
line_852_1_male	male	dgrp	line_852
line_852_2_male	male	dgrp	line_852
line_853_1_male	male	dgrp	line_853
line_853_2_male	male	dgrp	line_853
line_855_1_male	male	dgrp	line_855
line_855_2_male	male	dgrp	line_855
line_857_1_male	male	dgrp	line_857
line_857_2_male	male	dgrp	line_857
line_859_1_male	male	dgrp	line_859
line_859_2_male	male	dgrp	line_859
line_861_1_male	male	dgrp	line_861
line_861_2_male	male	dgrp	line_861
line_879_1_male	male	dgrp	line_879
line_879_2_male	male	dgrp	line_879
line_882_1_male	male	dgrp	line_882
line_882_2_male	male	dgrp	line_882
line_884_1_male	male	dgrp	line_884
line_884_2_male	male	dgrp	line_884
line_887_1_male	male	dgrp	line_887
line_887_2_male	male	dgrp	line_887
line_890_1_male	male	dgrp	line_890
line_892_1_male	male	dgrp	line_892
line_892_2_male	male	dgrp	line_892
line_894_1_male	male	dgrp	line_894
line_894_2_male	male	dgrp	line_894
line_897_1_male	male	dgrp	line_897
line_897_2_male	male	dgrp	line_897
line_900_1_male	male	dgrp	line_900
line_900_2_male	male	dgrp	line_900
line_907_1_male	male	dgrp	line_907
line_907_2_male	male	dgrp	line_907
line_908_1_male	male	dgrp	line_908
line_908_2_male	male	dgrp	line_908
line_911_1_male	male	dgrp	line_911
line_911_2_male	male	dgrp	line_911
